BHK,project,Location,City,Total sqft,price_sqft,price
3 BHK Apartment,SHREE KRISHNA SangamChembur,Chembur,Mumbai,984,"30,000",2.95 Cr
2 BHK Apartment,Ekdanta 24 KaratKurla,Kurla,Mumbai,598,"25,000",1.50 Cr
2 BHK Apartment,Liberty Bay VueMalad West,Malad West,Mumbai,738,"22,000",1.62 Cr
3 BHK Apartment,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,644,"7,000",45.08 L
2 BHK Apartment,Mayfair The ViewVikhroli,Vikhroli,Mumbai,582,"28,000",1.63 Cr
2 BHK Apartment,Puraniks City Sector 1Neral,Neral,Mumbai,427,"6,000",25.62 L
3 BHK Apartment,Jewel CrestMahim,Mahim,Mumbai,1130,"48,000",5.42 Cr
2 BHK Apartment,Aplite Greenstone HeritageFort,Fort,Mumbai,671,"55,000",3.69 Cr
3 BHK Apartment,Mahaavir PrideDombivali,Dombivali,Mumbai,917,"12,000",1.10 Cr
1 BHK Independent House,VBHC 47 Rowland ParkPalghar,Palghar,Mumbai,701,"8,000",56.08 L
1 BHK Apartment,Lalani Velentine Apartment 1 Wing DMalad East,Malad East,Mumbai,387,"20,000",77.40 L
1 BHK Apartment,A Plus Golden VanVangani,Vangani,Mumbai,417,"25,000",1.04 Cr
1 BHK Apartment,Lashkaria PearlJogeshwari West,Jogeshwari West,Mumbai,333,"25,000",83.25 L
2 BHK Apartment,Royal PristoMalad East,Malad East,Mumbai,638,"20,000",1.28 Cr
1 BHK Apartment,Hirani Nehru Nagar Shree Ganesh Krupa CHS Ltd Bldg No 120Kurla,Kurla,Mumbai,425,"25,000",1.06 Cr
2 BHK Apartment,Nrose Northern HillsDahisar,Dahisar,Mumbai,623,"20,000",1.25 Cr
2 BHK Apartment,BG Shirke Parijat Hill ViewBorivali East,Borivali East,Mumbai,501,"16,000",80.16 L
2 BHK Apartment,S Square Rudraksh Heritage Wing A And Wing BMulund West,Mulund West,Mumbai,771,"25,000",1.93 Cr
3 BHK Apartment,Arihant Clan Aalishan Phase 1Kharghar,Kharghar,Mumbai,938,"12,000",1.13 Cr
1 BHK Apartment,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,287,"8,000",22.96 L
3 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,2215,"12,000",2.66 Cr
3 BHK Apartment,Sanghvi InfeniaSantacruz East,Santacruz East,Mumbai,778,"45,000",3.50 Cr
3 BHK Apartment,RKR Precious ImperialAmbernath East,Ambernath East,Mumbai,821,"25,000",2.05 Cr
1 BHK Apartment,Om GM Thakur CityPalghar,Palghar,Mumbai,565,"8,000",45.20 L
1 BHK Apartment,Royal HeritageVangani,Vangani,Mumbai,395,"25,000",98.75 L
1 BHK Apartment,Sai Shree Sai WoodsPalghar,Palghar,Mumbai,590,"8,000",47.20 L
1 BHK Apartment,Shreedham SplendourAndheri West,Andheri West,Mumbai,230,"35,000",80.50 L
1 BHK Apartment,Gold Plaza Rangari HeightsMazagaon,Mazagaon,Mumbai,425,"25,000",1.06 Cr
1 BHK Apartment,V K LAL VKLAL VISHNU PHASE IDahisar,Dahisar,Mumbai,396,"20,000",79.20 L
2 BHK Apartment,Unimont AurumKarjat,Karjat,Mumbai,755,"25,000",1.89 Cr
2 BHK Apartment,Neelkanth Valley IIKhopoli,Khopoli,Mumbai,428,"25,000",1.07 Cr
1 BHK Apartment,KP KrishnaGoregaon East,Goregaon East,Mumbai,485,"24,000",1.16 Cr
1 BHK Apartment,Jindal AvenuePanvel,Panvel,Mumbai,261,"10,000",26.10 L
1 BHK Apartment,Kalyan ViharKalyan West,Kalyan West,Mumbai,477,"10,000",47.70 L
2 BHK Apartment,Arihant Arihant EnclaveAndheri East,Andheri East,Mumbai,655,"28,000",1.83 Cr
1 BHK Apartment,Bombay CastleDronagiri,Dronagiri,Mumbai,428,"25,000",1.07 Cr
2 BHK Apartment,Shakuntala Shree Puram TownshipUmroli,Umroli,Mumbai,950,"25,000",2.38 Cr
1 BHK Apartment,Viva VedantaVirar,Virar,Mumbai,527,"5,000",26.35 L
1 BHK Apartment,Parijas ZenithKalyan East,Kalyan East,Mumbai,500,"9,000",45.00 L
1 BHK Apartment,Sai Shrushti VatikaThane West,Thane West,Mumbai,409,"18,000",73.62 L
